koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_srad
CONFIRMED,0,0,0,0,9.48803557,170.53875,0.146,2.9575,616.0,2.26,793.0,93.59,35.8,5455.0,0.927
CONFIRMED,0,0,0,0,54.4183827,162.51384,0.586,4.507,875.0,2.83,443.0,9.11,25.8,5455.0,0.927
FALSE POSITIVE,0,1,0,0,19.89913995,175.850252,0.9690000000000001,1.7822,10800.0,14.6,638.0,39.3,76.3,5853.0,0.868
FALSE POSITIVE,0,1,0,0,1.7369524530000002,170.30756499999998,1.276,2.4064099999999997,8080.0,33.46,1395.0,891.96,505.6,5805.0,0.7909999999999999
CONFIRMED,0,0,0,0,2.525591777,171.59555,0.701,1.6545,603.0,2.75,1406.0,926.16,40.9,6031.0,1.046
CONFIRMED,0,0,0,0,11.09432054,171.20116000000002,0.5379999999999999,4.5945,1520.0,3.9,835.0,114.81,66.5,6046.0,0.972
CONFIRMED,0,0,0,0,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,6046.0,0.972
CONFIRMED,0,0,0,0,2.56658897,179.55437,0.755,2.4290000000000003,227.0,1.59,1360.0,807.74,15.0,6046.0,0.972
FALSE POSITIVE,0,1,1,0,7.36178958,132.25053,1.169,5.022,234.0,39.21,1342.0,767.22,47.7,6227.0,1.9580000000000002
CONFIRMED,0,0,0,0,16.06864674,173.621937,0.052000000000000005,3.5347,4910.0,5.76,600.0,30.75,161.9,5031.0,0.848
CONFIRMED,0,0,0,0,2.470613377,122.763305,0.818,1.7431900000000002,14200.0,13.04,1339.0,761.46,4304.3,5820.0,0.9640000000000001
CONFIRMED,0,1,0,0,2.2047354169999998,121.35854170000002,0.22399999999999998,3.88864,6670.0,16.1,2048.0,4148.92,5945.9,6440.0,1.952
CONFIRMED,0,0,0,0,3.5224984289999997,121.1194228,0.631,3.19843,9150.0,14.59,1521.0,1264.67,1741.5,6225.0,1.4509999999999998
CONFIRMED,0,0,0,0,3.709214104,133.98318,0.051,2.6302,131.0,1.16,1206.0,500.46,50.6,5833.0,1.022
FALSE POSITIVE,0,1,0,0,11.52144606,170.839688,2.483,3.6399,18000.0,150.51,753.0,75.88,622.1,5795.0,0.848
FALSE POSITIVE,0,1,0,0,19.40393776,172.484253,0.804,12.2155,8920.0,7.18,523.0,17.69,214.7,5043.0,0.68
FALSE POSITIVE,0,1,0,0,19.22138894,184.5521637,1.065,4.798430000000001,74300.0,49.29,698.0,55.97,2317.0,6117.0,0.9470000000000001
FALSE POSITIVE,0,1,0,0,16.46983774,180.881761,0.292,9.4378,10500.0,7.94,595.0,29.61,303.4,5152.0,0.7859999999999999
CONFIRMED,0,0,0,0,9.27358173,173.25815500000002,0.387,3.2875,1290.0,2.47,649.0,41.85,87.2,4856.0,0.696
CONFIRMED,0,0,0,0,6.02930329,171.602959,0.258,1.5821,1910.0,2.85,678.0,50.04,65.4,4537.0,0.672
FALSE POSITIVE,0,1,1,1,2.6963706519999997,170.73769,0.044000000000000004,3.6129,398.0,1.58,1066.0,305.34,48.2,4989.0,0.8190000000000001
CONFIRMED,0,0,0,0,5.349553819,171.80694,0.092,3.0278,831.0,2.55,919.0,168.99,60.6,5185.0,0.91
CONFIRMED,0,0,0,0,3.94105221,136.08661999999998,0.226,2.5984,363.0,1.7,1018.0,253.15,28.9,5185.0,0.91
CONFIRMED,0,0,0,0,8.10904807,132.8031,0.025,3.596,217.0,1.3,800.0,97.03,14.1,5185.0,0.91
FALSE POSITIVE,0,1,0,0,386.6030528,166.342079,0.9765,6.8057,24900.0,41.5,297.0,1.84,994.0,5543.0,1.58
CONFIRMED,0,0,0,0,21.67699193,171.53593999999998,0.8959999999999999,3.4555,857.0,2.95,530.0,18.64,34.3,4954.0,0.828
CONFIRMED,0,0,0,0,4.99677968,171.74208000000002,0.71,2.1717,935.0,2.78,917.0,166.95,28.2,5339.0,0.847
CONFIRMED,0,0,0,0,4.280963604,171.89659,0.424,2.875,751.0,2.3,1012.0,247.87,61.8,5644.0,0.831
FALSE POSITIVE,0,0,1,0,1.50635409,170.998064,0.86,1.5155,2210.0,4.53,1452.0,1054.12,181.1,5714.0,0.831
FALSE POSITIVE,1,0,0,0,670.645531,209.04355,0.701,53.412,18100.0,14.14,196.0,0.35,642.7,5520.0,0.983
FALSE POSITIVE,0,1,0,0,61.256362800000005,173.83826000000002,1.248,7.632999999999999,5120.0,39.87,505.0,15.43,85.3,6144.0,1.091
CONFIRMED,0,0,0,0,38.377548600000004,172.82048,0.46799999999999997,5.587999999999999,724.0,2.82,529.0,18.53,34.7,5481.0,1.036
CONFIRMED,0,0,0,0,41.19725502,165.00404,0.045,4.6297,2210.0,3.86,439.0,8.76,51.2,5031.0,0.848
CONFIRMED,0,0,0,0,6.252962248999999,171.30126,0.105,2.5819,1040.0,2.65,823.0,108.3,47.1,5031.0,0.848
CONFIRMED,0,0,0,0,16.01308419,176.3608,0.799,3.2554,1120.0,3.1,593.0,29.31,33.2,5015.0,0.826
CONFIRMED,0,0,0,0,32.62876672,194.1019,0.021,4.7971,1800.0,3.36,506.0,15.55,80.0,5586.0,0.7979999999999999
CONFIRMED,0,0,0,0,91.7732862,193.8378,0.606,6.473,652.0,2.12,359.0,3.92,19.1,5586.0,0.7979999999999999
CANDIDATE,0,0,0,0,4.959319244,172.2585292,0.831,2.22739,9800.0,12.21,1103.0,349.4,696.5,5712.0,1.082
FALSE POSITIVE,0,1,1,0,2.7012878010000003,170.69579,1.016,3.3827,860.0,6.54,1222.0,527.81,48.3,5550.0,0.91
CONFIRMED,0,0,0,0,4.49876511,171.34905,0.312,3.7362,460.0,2.1,1133.0,389.62,29.5,6075.0,0.9690000000000001
FALSE POSITIVE,0,1,0,0,19.65120951,179.401981,0.723,5.2514,11800.0,12.42,730.0,67.03,513.4,6074.0,1.063
CONFIRMED,0,0,0,0,5.412203927,133.143089,0.787,2.9472,602.0,2.94,1093.0,337.68,166.7,5779.0,1.087
CONFIRMED,0,0,0,0,41.43958662,208.93203,0.355,10.5989,2790.0,5.5,516.0,16.72,141.1,5468.0,1.046
CONFIRMED,0,0,0,0,8.35389523,171.63257,0.023,2.2514,1040.0,2.52,790.0,91.9,43.4,5592.0,0.787
CONFIRMED,0,0,0,0,4.1255434719999995,169.752585,0.597,3.1744,1490.0,4.43,1243.0,565.35,128.6,6174.0,1.103
CONFIRMED,0,0,0,0,2.816504904,170.96768459999998,0.105,2.5058700000000003,16800.0,12.21,1219.0,521.13,1406.8,5532.0,0.955
FALSE POSITIVE,0,1,1,0,33.93373447,186.67608,0.812,14.561,8500.0,7.34,430.0,8.11,236.1,5040.0,0.705
CONFIRMED,0,0,0,0,3.6899200989999996,170.36571,0.151,2.6557,427.0,1.89,1147.0,408.99,35.6,5880.0,0.917
CONFIRMED,0,0,0,0,4.431238488,171.015,0.405,3.15,1010.0,3.25,1104.0,351.23,71.1,5714.0,1.015
CONFIRMED,0,0,0,0,11.37936986,133.84992,0.9109999999999999,2.6255,1020.0,3.95,806.0,99.68,37.9,5714.0,1.015
CONFIRMED,0,0,0,0,26.39432897,176.05459,0.602,3.573,1510.0,3.07,489.0,13.49,48.2,5129.0,0.763
CONFIRMED,0,0,0,0,13.57078281,136.279194,0.866,3.3539,512.0,2.64,785.0,89.61,88.4,5854.0,1.012
CONFIRMED,0,0,0,0,7.12594387,139.00492,0.898,3.0014,192.0,1.79,997.0,233.31,47.1,5779.0,1.087
FALSE POSITIVE,0,1,0,0,7.442652004,169.97177969999998,0.13699999999999998,2.3078,24400.0,15.03,967.0,206.78,835.6,6108.0,0.956
CONFIRMED,0,0,0,0,16.38489988,172.72782,0.001,3.0249,1130.0,2.0,433.0,8.35,28.9,4126.0,0.615
CONFIRMED,0,0,0,0,7.8774163,176.3759,0.040999999999999995,2.0805,1310.0,2.16,553.0,22.18,38.7,4126.0,0.615
CONFIRMED,0,0,0,0,36.4454001,151.60125,0.027999999999999997,4.007,1120.0,1.99,332.0,2.88,21.7,4126.0,0.615
CONFIRMED,0,0,0,0,3.7287321469999997,171.79325500000002,0.5579999999999999,2.6830000000000003,5230.0,6.02,1023.0,258.34,345.2,5497.0,0.809
CANDIDATE,0,0,0,0,40.4195037,173.56468999999998,0.9109999999999999,3.362,6260.0,7.51,467.0,11.29,36.9,5446.0,0.7809999999999999
CONFIRMED,0,0,0,0,2.243380573,170.679233,0.915,1.1196,822.0,1.99,822.0,107.6,38.9,4149.0,0.564
FALSE POSITIVE,0,1,0,0,10.40599802,177.197466,0.324,6.5036,14500.0,11.23,833.0,113.94,745.2,5746.0,0.924
CONFIRMED,0,0,0,0,2.337437946,171.76198200000002,0.28,1.9982,971.0,2.34,1070.0,311.16,82.4,5005.0,0.765
CANDIDATE,0,0,0,0,7.240661200000001,137.75545,1.198,0.5579999999999999,556.0,19.45,734.0,68.63,13.7,5005.0,0.765
CANDIDATE,0,0,0,0,3.43591631,132.6624,0.624,3.133,23.2,0.55,1272.0,617.61,8.7,5779.0,1.087
CONFIRMED,0,0,0,0,11.59822233,180.395376,0.679,2.5237,2800.0,2.65,396.0,5.82,71.0,3688.0,0.473
CONFIRMED,0,0,0,0,6.575315881,173.634044,0.39,4.3084,2790.0,5.31,1015.0,251.38,221.1,5992.0,0.9890000000000001
CONFIRMED,0,0,0,0,7.275040843999999,169.994217,0.547,7.5377,3000.0,4.86,833.0,113.64,312.1,5485.0,0.867
CONFIRMED,0,0,0,0,19.27153892,186.77093,0.031,2.7594,1220.0,1.93,393.0,5.66,37.1,4077.0,0.56
CONFIRMED,0,0,0,0,10.06524317,136.28906,0.628,1.369,1050.0,1.91,488.0,13.43,30.3,4077.0,0.56
CONFIRMED,0,0,0,0,12.3935651,178.74725,0.883,3.8896,917.0,2.66,677.0,49.68,35.8,5557.0,0.75
CONFIRMED,0,0,0,0,43.84439721,151.93538,0.852,6.8020000000000005,615.0,2.87,531.0,18.77,83.7,5854.0,1.012
FALSE POSITIVE,0,1,1,0,3.341913228,171.63943,1.213,3.813,725.0,21.55,1032.0,268.67,39.0,5295.0,0.8109999999999999
CANDIDATE,0,0,0,0,1.626630225,169.820171,1.26,2.1145,1620.0,32.43,1547.0,1355.88,103.6,5735.0,0.973
CONFIRMED,0,0,0,0,2.711504086,170.03417,0.023,3.0099,838.0,3.12,1420.0,960.79,64.5,6214.0,1.0759999999999998
CONFIRMED,0,0,0,0,7.21203748,172.81781999999998,0.012,4.0491,950.0,3.32,1025.0,260.58,51.5,6214.0,1.0759999999999998
FALSE POSITIVE,0,0,0,1,14.1798187,171.50236999999998,0.1601,2.505,460.0,1.88,711.0,60.35,11.2,5799.0,0.878
CONFIRMED,0,0,0,0,8.47237911,174.16212,0.022000000000000002,2.7245,1120.0,2.59,751.0,75.44,47.6,5354.0,0.7879999999999999
CONFIRMED,0,0,0,0,60.41893689999999,181.16367,0.094,5.039,931.0,2.36,390.0,5.49,20.1,5354.0,0.7879999999999999
CONFIRMED,0,0,0,0,12.61190435,180.89228400000002,0.55,5.1497,6110.0,7.4,753.0,76.15,277.2,5795.0,0.919
FALSE POSITIVE,0,1,0,0,1.433769925,170.403536,1.268,1.8868,1980.0,46.58,1920.0,3209.29,112.6,6017.0,1.339
FALSE POSITIVE,0,1,1,0,10.31872301,173.31543,1.215,3.8360000000000003,872.0,28.59,876.0,139.26,38.2,5927.0,1.06
CONFIRMED,0,0,0,0,2.5391831469999997,169.67494,0.23800000000000002,2.4282,382.0,2.06,1332.0,743.09,38.9,5519.0,1.062
CONFIRMED,0,0,0,0,6.770300385,170.57662,0.838,2.0844,1300.0,2.77,812.0,102.87,50.8,5653.0,0.679
FALSE POSITIVE,0,1,1,1,0.44429196600000004,169.865406,1.258,2.0792,11000.0,27.51,1836.0,2706.26,299.7,5255.0,0.636
CANDIDATE,0,0,0,0,10.181583999999999,177.141891,0.92,3.5089,5740.0,7.73,812.0,102.91,183.6,5988.0,0.836
CONFIRMED,0,0,0,0,20.06036336,147.46554,0.556,3.3203,1490.0,1.96,361.0,4.0,35.2,3950.0,0.493
CONFIRMED,0,0,0,0,46.1842039,165.23729,0.013000000000000001,4.758,1390.0,1.83,273.0,1.32,26.0,3950.0,0.493
CONFIRMED,0,0,0,0,23.9800854,147.537,0.95,5.351,104.0,1.31,649.0,41.94,17.1,5854.0,1.012
CONFIRMED,0,0,0,0,7.82502168,136.54995,0.708,2.186,521.0,1.2,494.0,14.05,15.9,3950.0,0.493
CONFIRMED,0,0,0,0,3.895936525,170.52755200000001,0.524,2.3111,8540.0,7.34,1005.0,241.62,370.8,5557.0,0.774
CONFIRMED,0,0,0,0,22.36646466,175.45862,0.4,5.228,987.0,2.32,536.0,19.45,32.1,5395.0,0.7340000000000001
CONFIRMED,0,0,0,0,1.625522174,170.8266564,0.076,2.38963,7970.0,9.73,1579.0,1467.41,799.7,5539.0,1.1059999999999999
CANDIDATE,0,0,0,0,19.62034692,181.881819,0.45799999999999996,2.0038,21700.0,13.6,643.0,40.39,340.5,5710.0,0.905
FALSE POSITIVE,1,0,1,0,7.544039,171.7982,1.175,6.222,323.0,17.47,838.0,116.46,14.2,5657.0,0.8240000000000001
CANDIDATE,0,0,0,0,9.02930689,177.20422,0.024,3.1449,1020.0,2.57,757.0,77.75,53.9,5349.0,0.82
FALSE POSITIVE,0,1,0,0,10.32803571,174.581054,0.281,7.7915,16900.0,13.28,843.0,119.31,636.8,5627.0,1.024
CONFIRMED,0,0,0,0,143.20630469999998,154.23552,0.379,8.9302,10600.0,8.9,308.0,2.14,138.8,5485.0,0.867
CONFIRMED,0,0,0,0,6.1648760000000005,135.63916,0.6459999999999999,3.262,55.8,0.79,1021.0,256.35,14.4,5854.0,1.012
CONFIRMED,0,0,0,0,60.32494216,243.892578,0.22399999999999998,6.6188,20300.0,12.19,411.0,6.77,347.2,5485.0,0.867
CONFIRMED,0,0,0,0,29.159861499999998,150.69922,0.3619,4.803,488.0,1.91,524.0,17.85,11.6,5485.0,0.867
FALSE POSITIVE,0,0,1,1,1.540397253,170.50478999999999,1.225,2.1541,816.0,25.69,1470.0,1105.68,38.8,5663.0,0.915
FALSE POSITIVE,0,0,1,1,2.99025443,171.9834,0.013999999999999999,5.414,589.0,1.7,918.0,168.45,48.5,4667.0,0.731
CONFIRMED,0,0,0,0,1.5947453740000002,170.6483505,0.514,1.9604,15000.0,11.3,1539.0,1329.42,1009.3,5934.0,0.893
CANDIDATE,0,0,0,0,4.783002698,170.50843400000002,0.003,2.335,1010.0,2.5,886.0,145.48,70.6,5170.0,0.807
CONFIRMED,0,0,0,0,20.50588921,181.43428,0.26,4.0595,2110.0,3.41,518.0,17.06,78.5,4905.0,0.7609999999999999
CONFIRMED,0,0,0,0,3.340218842,171.979062,0.466,1.9104,1630.0,2.03,656.0,43.73,71.6,3950.0,0.493
FALSE POSITIVE,0,1,1,0,2.507089906,171.002455,1.255,2.0067,1340.0,30.26,1326.0,730.47,64.9,5926.0,0.9390000000000001
CONFIRMED,0,0,0,0,18.64932728,174.771,0.08,4.4056,894.0,3.12,701.0,57.13,46.1,5775.0,1.053
CONFIRMED,0,0,0,0,4.90144976,138.60548,0.529,4.1654,141.0,1.7,1262.0,598.74,50.6,5847.0,1.402
CONFIRMED,0,0,0,0,9.75192101,138.78608,0.9490000000000001,4.793,418.0,2.76,870.0,135.66,28.5,5775.0,1.053
CONFIRMED,0,0,0,0,38.557654600000006,163.85063,0.9109999999999999,5.794,993.0,4.02,550.0,21.71,39.7,5775.0,1.053
CONFIRMED,0,0,0,0,3.5256325389999996,170.04799509999998,0.12,2.59959,22300.0,11.58,975.0,213.12,1996.7,5150.0,0.7929999999999999
CANDIDATE,0,0,0,0,34.84398644,172.633252,0.934,2.9315,4520.0,7.61,511.0,16.1,76.8,5509.0,0.871
CONFIRMED,0,0,0,0,7.748094238999999,174.997206,0.517,3.5957,2470.0,5.52,964.0,204.39,113.2,5973.0,1.085
CONFIRMED,0,0,0,0,23.96793669,186.22182,0.41600000000000004,3.827,1180.0,1.8,329.0,2.77,27.5,3747.0,0.524
CONFIRMED,0,0,0,0,8.11437482,176.33968000000002,0.573,2.2736,1560.0,2.1,460.0,10.55,56.4,3692.0,0.517
FALSE POSITIVE,0,1,0,0,38.03672948,196.934947,0.501,4.34617,82900.0,27.5,500.0,14.81,1300.0,5575.0,0.932
FALSE POSITIVE,0,1,0,0,4.64090031,173.64638,1.28,35.512,2450.0,30.09,1155.0,421.08,296.9,6463.0,0.826
FALSE POSITIVE,0,1,1,1,3.747838198,171.66504,1.121,5.0642,616.0,13.65,1031.0,266.76,138.2,5514.0,0.826
CONFIRMED,0,0,0,0,14.74914825,138.77799,0.17300000000000001,6.0995,430.0,2.89,874.0,137.91,107.4,5847.0,1.402
CONFIRMED,0,0,0,0,21.81295996,174.01085,0.053,4.3791,1180.0,3.38,639.0,39.33,37.8,5601.0,0.9990000000000001
FALSE POSITIVE,0,1,0,0,7.91936937,172.181092,0.733,3.3148,15100.0,10.34,814.0,104.0,389.0,5690.0,0.7759999999999999
CANDIDATE,0,0,0,0,1.0284365229999999,170.22858200000002,1.5734,1.8606,8100.0,72.77,1947.0,3400.48,89.6,6228.0,0.99
CONFIRMED,0,0,0,0,15.37562369,173.61401999999998,0.6920000000000001,3.3169,15300.0,11.01,600.0,30.54,166.0,4986.0,0.833
CONFIRMED,0,0,0,0,8.10363271,176.9486,0.047,3.161,888.0,2.11,687.0,52.82,39.3,4861.0,0.732
CONFIRMED,0,0,0,0,4.71510843,134.96178,0.258,2.506,418.0,1.46,823.0,108.84,21.3,4861.0,0.732
CONFIRMED,0,0,0,0,6.365839713,171.13575,0.524,2.9721,781.0,2.44,914.0,165.33,70.8,5776.0,0.8490000000000001
FALSE POSITIVE,0,0,1,0,5.97581754,174.77602,0.941,3.065,962.0,3.86,1047.0,284.25,50.3,6108.0,0.997
FALSE POSITIVE,0,0,1,1,2.4467373169999997,170.66951,1.2409999999999999,4.7211,1180.0,26.25,1261.0,597.19,110.2,5764.0,0.863
CONFIRMED,0,0,0,0,3.04033046,169.94901059999998,0.736,1.8411,10900.0,8.99,1021.0,257.29,568.2,5035.0,0.7909999999999999
CONFIRMED,0,0,0,0,15.33528675,174.00278,0.773,3.897,3080.0,5.0,610.0,32.67,86.6,5251.0,0.8170000000000001
CONFIRMED,0,0,0,0,7.95825328,137.80219,0.706,4.377,50.0,1.06,1074.0,314.15,14.7,5847.0,1.402
CONFIRMED,0,0,0,0,31.33046135,153.43031000000002,0.7979999999999999,5.176,5070.0,6.5,481.0,12.61,117.2,5251.0,0.8170000000000001
FALSE POSITIVE,0,1,0,0,3.9043425000000003,173.393734,0.7090000000000001,3.8310000000000004,16200.0,12.28,1104.0,351.05,323.4,5810.0,0.898
FALSE POSITIVE,0,1,0,0,9.286358079,171.8214689,0.377,3.49949,44800.0,17.61,796.0,95.03,1671.1,5670.0,0.821
FALSE POSITIVE,0,1,0,0,3.951405455,173.276125,1.276,2.1862,2450.0,31.44,1133.0,388.71,117.2,6046.0,0.8690000000000001
CONFIRMED,0,0,0,0,23.65369415,171.37610700000002,0.008,8.2183,3340.0,7.89,731.0,67.65,266.3,5739.0,1.3840000000000001
CONFIRMED,0,0,0,0,13.23352214,140.32196000000002,0.013999999999999999,6.7372,505.0,3.06,888.0,146.67,49.1,5739.0,1.3840000000000001
CONFIRMED,0,0,0,0,6.15560285,134.81656,0.235,4.9843,285.0,2.32,1146.0,406.94,35.1,5739.0,1.3840000000000001
CONFIRMED,0,0,0,0,2.090811305,134.17462,0.746,3.388,116.0,1.62,1642.0,1718.04,19.9,5739.0,1.3840000000000001
CONFIRMED,0,0,0,0,3.180027898,133.49863,0.196,3.5797,120.0,1.53,1458.0,1066.86,50.4,5847.0,1.402
CONFIRMED,0,0,0,0,50.446741700000004,178.5014,0.379,7.159,370.0,2.67,568.0,24.64,19.4,5739.0,1.3840000000000001
CONFIRMED,0,0,0,0,11.76307164,180.93613,0.048,2.9076,1040.0,2.35,616.0,33.99,48.9,4959.0,0.7559999999999999
CONFIRMED,0,0,0,0,56.22792710000001,132.29259,0.7,3.57,863.0,2.37,366.0,4.22,20.9,4959.0,0.7559999999999999
FALSE POSITIVE,0,1,1,1,2.384052875,171.58362,1.178,3.0918,1270.0,17.06,1010.0,244.87,50.5,4794.0,0.701
CONFIRMED,0,0,0,0,7.953547,174.66224,0.3,2.6312,875.0,2.25,696.0,55.37,38.4,4768.0,0.779
CONFIRMED,0,0,0,0,4.14451656,135.92831,0.004,2.3421,392.0,1.48,864.0,132.08,22.8,4768.0,0.779
